participant,prolificID,ishihara1,ishihara2,ishihara3,ishihara4,infoMessage,digitSpanExperiment,break1,flankerArrowsExperiment,digitSpan,flankerEffect,endsurvey,INFOSCREEN,CLIENT_start,TIME_start,TIME_end,TIME_total
s.585885aa-d2ee-47f0-bc2d-cb05b32ad9ba.txt,7427,3165,4080,13886,3700,508636,"",1870,"","","","",117846,2025-12-01-13-08,2025-12-01-18-08,2025-12-01-18-25,17
s.7d9b31c2-c7d0-4f73-b0e0-f21c4d5decb2.txt,13127,5338,3604,3906,3064,1321,"",879,"","","","",2469,2025-12-01-12-10,2025-12-01-18-10,2025-12-01-18-16,6
s.50777602-b3bb-430e-9a60-75d854fb9c9a.txt,8403,5540,21705,14218,5346,13373,"",2698,"","","","",7773,2025-12-01-13-14,2025-12-01-18-14,2025-12-01-18-24,10
s.682700eb-2b2f-4c35-8944-7df89f803b2a.txt,6728,4629,7422,5403,3796,6543,"",37125,"","","","",11386,2025-12-01-13-21,2025-12-01-18-21,2025-12-01-18-31,10
s.da2b596b-3855-4846-aa57-640f3de9ec51.txt,3230,6602,5528,3290,3217,97958,"",669080,"","","","",236156,2025-12-01-13-25,2025-12-01-18-25,2025-12-01-19-13,48
s.fc1dcd77-36a8-4bfb-a063-9e9145629f2c.txt,3352,3794,8483,4393,5070,283084,"",2084,"","","","",8194,2025-12-01-13-02,2025-12-01-19-02,2025-12-01-19-14,12
s.3c25e8c9-fb16-4227-b681-eb6710a841ab.txt,4523,5818,6378,4188,4258,9463,"",3497,"","","","",42693,2025-12-01-14-49,2025-12-01-19-49,2025-12-01-19-56,7
s.60cfcfd6-8ecb-4efc-9438-26476fc60482.txt,2326,3997,4979,5666,4601,1603,"",36206,"","","","",3292,2025-12-03-12-45,2025-12-03-18-45,2025-12-03-18-51,6
s.df16f524-5e37-4fde-a537-59a2e96e820d.txt,2996,6609,9940,3221,2961,2577,"",4769,"","","","",2380,2025-12-03-10-45,2025-12-03-18-45,2025-12-03-18-54,9
s.27cb2236-5112-47be-bb9b-7a9117a65d4d.txt,6835,4171,6884,5346,4881,3751,"",2708,"","","","",12363,2025-12-03-13-45,2025-12-03-18-45,2025-12-03-18-52,7
s.e5742ad9-aa79-4b94-98fa-bd19310be35a.txt,4155,4925,14204,5990,5811,7142,"",10759,"","","","",5071,2025-12-03-13-45,2025-12-03-18-45,2025-12-03-18-53,8
s.9b2eebf6-2be9-4877-8621-283de9dd5c99.txt,5567,4736,8014,6819,4113,2590,"",2589,"","","","",4731,2025-12-03-19-45,2025-12-03-18-45,2025-12-03-18-53,8
s.4fb7712e-d24b-43f7-9ce0-8eb50ce752ee.txt,3086,4257,4994,4210,7479,7270,"",6489,"","","","",22349,2025-12-03-12-45,2025-12-03-18-45,2025-12-03-18-52,7
s.ed07d933-3cc9-4ae6-b383-12eabf1bb3af.txt,2992,3853,4403,2858,3587,12049,"",3707,"","","","",4657,2025-12-03-12-45,2025-12-03-18-45,2025-12-03-18-52,7
s.af4f475e-3c03-4182-9e56-dbdc0d7a1da3.txt,3479,5300,7090,4550,4708,10887,"",18185,"","","","",6273,2025-12-03-13-45,2025-12-03-18-45,2025-12-03-18-55,10
s.a66810e6-6e27-442c-9bb9-a054ec078064.txt,9423,6460,7013,4117,3722,8198,"",1874,"","","","",19129,2025-12-03-12-45,2025-12-03-18-45,2025-12-03-18-53,8
s.98da646d-1473-4321-b73e-0aad61c06b1a.txt,2619,3348,5242,2889,3940,3050,"",64517,"","","","",19459,2025-12-03-12-45,2025-12-03-18-45,2025-12-03-18-55,10
s.2c3d4a64-25bf-49b5-95a1-a04873d6f4fb.txt,4254,13917,9966,5608,4949,36464,"",31173,"","","","",29712,2025-12-03-12-45,2025-12-03-18-45,2025-12-03-18-55,10
